,model,2nd_model,cascade,voting
0,0.5894741554167948,0.5894741554167948,0.6158476713841721,0.5829005965810373
1,14.097276012188155,14.097276012188155,14.211321444738422,14.10897749824986
2,4128266.163033046,4128266.163033046,4157875.170568071,4134624.88364996
3,3861564.9539603847,3861564.9539603847,2451892.1463913345,3864002.612945433
4,299695.11715532065,299695.11715532065,305623.0608804997,300271.87859329896
5,22.26704479850099,22.26704479850099,21.826257110162327,22.005938047270824
6,559041.785378256,559041.785378256,607037.3838106949,557245.0918568656
7,0.9056739019960428,0.9056739019960428,0.921345649448357,0.90677054572801
8,330211.1762874329,330211.1762874329,358237.43980799307,325514.85462156
9,8043454.621426973,8043454.621426973,9456691.654064115,8263687.899269707
10,0.1031899695968114,0.1031899695968114,0.1132615986772517,0.1027545470265817
11,14.248145308025212,14.248145308025212,14.895735930511444,14.168716260997488
