,model,2nd_model,cascade,voting
0,0.6134864695409313,0.6204461919763372,0.5983423056997602,0.6015240829389262
1,13.208888254658936,31.27902402127611,13.567027212108636,16.93367956574079
2,4173632.921931037,18573955.734464835,18696977.85753474,8191647.367383776
3,634171.7063489873,12009043.032984473,11903219.829762114,3940787.100780368
4,280925.530570676,545556.0856684137,537690.2435426327,355008.74107926217
5,21.8402320301705,25.315584460592618,21.28618727636893,21.543405313841543
6,471506.2584194441,965280.5146939856,910870.8184166382,583211.6990198046
7,0.9252834720618432,1.0634140558375351,0.9446715377876204,0.932285926444054
8,324673.26622030773,425008.1177665319,405761.3538715201,345137.83456926694
9,5991503.825032723,19618762.373421125,19654654.008526985,9219556.12333146
10,0.1032108150419093,0.1074007480962725,0.1024901214719769,0.1028916386814688
11,13.902287630355003,19.667907214856783,12.780154922267233,14.39440320059652
