,model,2nd_model,cascade,voting
0,0.6134864695409313,1.0877364680670734,0.6590362130336967,0.7208445910753536
1,13.208888254658936,27.081258790436006,14.349538502109706,17.578520346013544
2,4173632.921931037,8727961.72909744,4257318.934938564,5442844.149516272
3,634171.7063489873,839777.7689711561,593931.2160310276,600087.5240106878
4,280925.530570676,678706.4273284461,305849.28430369927,411526.6318148191
5,21.8402320301705,35.91464313734932,25.4697897273978,23.785933061491363
6,471506.2584194441,904622.5994932572,506721.1833118661,584526.7932260329
7,0.9252834720618432,2.063855209135232,1.0414100590197588,1.3006217249446692
8,324673.26622030773,660129.3267682216,375304.1314175765,387859.9994376265
9,5991503.825032723,15597191.01455853,7056962.763701306,9298580.856259694
10,0.1032108150419093,0.2164078671601123,0.1107284377353823,0.1307376642535482
11,13.902287630355003,16.025764420750733,15.167858583494104,16.108069216412982
