,model,2nd_model,cascade,voting
0,0.6757616430267345,1.0877364680670734,0.683572048611111,0.7365865194577729
1,14.546649781313937,27.081258790436006,14.823685829817158,18.09638970445756
2,4154047.498747278,8727961.72909744,4180325.308235967,4845387.772833005
3,543070.5932269846,839777.7689711561,526919.2223284198,501121.2448880712
4,327932.9021234411,678706.4273284461,332763.5017639285,390416.4934788117
5,17.193956662903727,35.91464313734932,17.203285321999473,23.471691913770737
6,519551.0378065653,904622.5994932572,518041.16873441497,570306.2915798967
7,1.1072111896884436,2.063855209135232,1.1372089107005383,1.2434223610387456
8,337374.9373184976,660129.3267682216,342673.4421086067,419091.1484451384
9,10317478.751221323,15597191.01455853,10509476.430679563,10783698.604076238
10,0.1124681626848877,0.2164078671601123,0.1121562266400776,0.1279069257581119
11,12.382446225998958,16.025764420750733,13.495002861330406,13.135722244933373
