,model,2nd_model,cascade,voting
0,0.6757616430267345,0.6134864695409313,0.6773305351046339,0.6208950409055867
1,14.546649781313937,13.208888254658936,14.543229356540095,12.692955084973873
2,4154047.498747278,4173632.921931037,4160353.9963592985,3892390.9733330114
3,543070.5932269846,634171.7063489873,467813.1007785888,494424.8752763723
4,327932.9021234411,280925.530570676,326318.1944487035,289537.4981755663
5,17.193956662903727,21.8402320301705,17.104265769188164,17.77931480425605
6,519551.0378065653,471506.2584194441,519934.91464731126,496742.9722329095
7,1.1072111896884436,0.9252834720618432,1.1182014714844752,0.964895084650198
8,337374.9373184976,324673.26622030773,341655.9820341107,323835.7173469682
9,10317478.751221323,5991503.825032723,10476510.173697164,7377864.630179853
10,0.1124681626848877,0.1032108150419093,0.1124597506360034,0.1034060003373271
11,12.382446225998958,13.902287630355003,12.741268399040834,13.046723882275677
